,Computer,Block,Day,Trial,Plates,location,animal,start,end,lardist,stdate,sttime
0,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,0,60,50,21/06/2016,14:03:27
1,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,0,60,273.4,21/06/2016,14:03:27
2,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,0,60,522.9,21/06/2016,14:03:27
3,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,0,60,373.8,21/06/2016,14:03:27
4,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,0,60,297.2,21/06/2016,14:03:27
5,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,0,60,219.3,21/06/2016,14:03:27
6,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,0,60,291.1,21/06/2016,14:03:27
7,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,0,60,309.1,21/06/2016,14:03:27
8,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,0,60,335.6,21/06/2016,14:03:27
9,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,0,60,281.3,21/06/2016,14:03:27
10,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,0,60,221.9,21/06/2016,14:03:27
11,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,0,60,253.9,21/06/2016,14:03:27
12,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,0,60,168.8,21/06/2016,14:03:27
13,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,0,60,252.9,21/06/2016,14:03:27
14,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,0,60,166.8,21/06/2016,14:03:27
15,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,0,60,259.6,21/06/2016,14:03:27
16,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,0,60,160.5,21/06/2016,14:03:27
17,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,0,60,359.9,21/06/2016,14:03:27
18,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,0,60,235,21/06/2016,14:03:27
19,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,0,60,388,21/06/2016,14:03:27
20,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,0,60,212.6,21/06/2016,14:03:27
21,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,0,60,190.8,21/06/2016,14:03:27
22,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,0,60,149.4,21/06/2016,14:03:27
23,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,0,60,187.2,21/06/2016,14:03:27
24,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,0,60,146.7,21/06/2016,14:03:27
25,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,0,60,169.5,21/06/2016,14:03:27
26,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,0,60,191.2,21/06/2016,14:03:27
27,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,0,60,509.3,21/06/2016,14:03:27
28,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,0,60,382.3,21/06/2016,14:03:27
29,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,0,60,267.8,21/06/2016,14:03:27
30,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,0,60,358.9,21/06/2016,14:03:27
31,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,0,60,335.6,21/06/2016,14:03:27
32,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,60,120,61.7,21/06/2016,14:04:27
33,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,60,120,232.6,21/06/2016,14:04:27
34,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,60,120,629.6,21/06/2016,14:04:27
35,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,60,120,304.5,21/06/2016,14:04:27
36,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,60,120,164,21/06/2016,14:04:27
37,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,60,120,344.2,21/06/2016,14:04:27
38,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,60,120,279.6,21/06/2016,14:04:27
39,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,60,120,295.7,21/06/2016,14:04:27
40,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,60,120,336.1,21/06/2016,14:04:27
41,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,60,120,432.8,21/06/2016,14:04:27
42,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,60,120,214.9,21/06/2016,14:04:27
43,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,60,120,221,21/06/2016,14:04:27
44,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,60,120,48.7,21/06/2016,14:04:27
45,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,60,120,287.5,21/06/2016,14:04:27
46,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,60,120,193,21/06/2016,14:04:27
47,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,60,120,203.6,21/06/2016,14:04:27
48,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,60,120,202.8,21/06/2016,14:04:27
49,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,60,120,301.2,21/06/2016,14:04:27
50,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,60,120,236,21/06/2016,14:04:27
51,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,60,120,269.1,21/06/2016,14:04:27
52,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,60,120,236,21/06/2016,14:04:27
53,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,60,120,251,21/06/2016,14:04:27
54,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,60,120,161,21/06/2016,14:04:27
55,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,60,120,208.4,21/06/2016,14:04:27
56,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,60,120,61.2,21/06/2016,14:04:27
57,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,60,120,171.3,21/06/2016,14:04:27
58,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,60,120,117.9,21/06/2016,14:04:27
59,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,60,120,427.8,21/06/2016,14:04:27
60,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,60,120,418.2,21/06/2016,14:04:27
61,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,60,120,269,21/06/2016,14:04:27
62,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,60,120,315.7,21/06/2016,14:04:27
63,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,60,120,275.7,21/06/2016,14:04:27
64,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,120,180,122.4,21/06/2016,14:05:27
65,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,120,180,259.8,21/06/2016,14:05:27
66,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,120,180,518.6,21/06/2016,14:05:27
67,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,120,180,338.2,21/06/2016,14:05:27
68,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,120,180,234.1,21/06/2016,14:05:27
69,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,120,180,265.8,21/06/2016,14:05:27
70,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,120,180,323.8,21/06/2016,14:05:27
71,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,120,180,291.9,21/06/2016,14:05:27
72,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,120,180,306.3,21/06/2016,14:05:27
73,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,120,180,376.2,21/06/2016,14:05:27
74,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,120,180,201.6,21/06/2016,14:05:27
75,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,120,180,283.6,21/06/2016,14:05:27
76,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,120,180,0.3,21/06/2016,14:05:27
77,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,120,180,271.9,21/06/2016,14:05:27
78,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,120,180,169.1,21/06/2016,14:05:27
79,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,120,180,263.6,21/06/2016,14:05:27
80,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,120,180,229.4,21/06/2016,14:05:27
81,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,120,180,406.8,21/06/2016,14:05:27
82,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,120,180,238.4,21/06/2016,14:05:27
83,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,120,180,367.8,21/06/2016,14:05:27
84,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,120,180,142,21/06/2016,14:05:27
85,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,120,180,237.4,21/06/2016,14:05:27
86,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,120,180,206.6,21/06/2016,14:05:27
87,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,120,180,232.7,21/06/2016,14:05:27
88,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,120,180,72.7,21/06/2016,14:05:27
89,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,120,180,91.8,21/06/2016,14:05:27
90,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,120,180,81,21/06/2016,14:05:27
91,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,120,180,335.9,21/06/2016,14:05:27
92,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,120,180,341.3,21/06/2016,14:05:27
93,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,120,180,277.7,21/06/2016,14:05:27
94,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,120,180,359,21/06/2016,14:05:27
95,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,120,180,296.2,21/06/2016,14:05:27
96,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,180,240,55.7,21/06/2016,14:06:27
97,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,180,240,276.4,21/06/2016,14:06:27
98,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,180,240,277.5,21/06/2016,14:06:27
99,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,180,240,320.2,21/06/2016,14:06:27
100,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,180,240,176.5,21/06/2016,14:06:27
101,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,180,240,344.6,21/06/2016,14:06:27
102,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,180,240,260,21/06/2016,14:06:27
103,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,180,240,278.1,21/06/2016,14:06:27
104,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,180,240,359.7,21/06/2016,14:06:27
105,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,180,240,295.5,21/06/2016,14:06:27
106,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,180,240,254.7,21/06/2016,14:06:27
107,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,180,240,263.7,21/06/2016,14:06:27
108,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,180,240,85.4,21/06/2016,14:06:27
109,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,180,240,253.8,21/06/2016,14:06:27
110,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,180,240,173.3,21/06/2016,14:06:27
111,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,180,240,285.7,21/06/2016,14:06:27
112,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,180,240,191.8,21/06/2016,14:06:27
113,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,180,240,316.5,21/06/2016,14:06:27
114,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,180,240,237.2,21/06/2016,14:06:27
115,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,180,240,354.5,21/06/2016,14:06:27
116,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,180,240,261.7,21/06/2016,14:06:27
117,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,180,240,132.4,21/06/2016,14:06:27
118,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,180,240,183.7,21/06/2016,14:06:27
119,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,180,240,175.6,21/06/2016,14:06:27
120,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,180,240,78.2,21/06/2016,14:06:27
121,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,180,240,58.1,21/06/2016,14:06:27
122,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,180,240,54.3,21/06/2016,14:06:27
123,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,180,240,478,21/06/2016,14:06:27
124,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,180,240,380.8,21/06/2016,14:06:27
125,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,180,240,262.9,21/06/2016,14:06:27
126,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,180,240,345.9,21/06/2016,14:06:27
127,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,180,240,317.3,21/06/2016,14:06:27
128,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,240,300,58,21/06/2016,14:07:27
129,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,240,300,236.6,21/06/2016,14:07:27
130,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,240,300,417.3,21/06/2016,14:07:27
131,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,240,300,354.3,21/06/2016,14:07:27
132,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,240,300,180.9,21/06/2016,14:07:27
133,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,240,300,357.4,21/06/2016,14:07:27
134,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,240,300,291.1,21/06/2016,14:07:27
135,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,240,300,234.9,21/06/2016,14:07:27
136,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,240,300,376.1,21/06/2016,14:07:27
137,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,240,300,279.6,21/06/2016,14:07:27
138,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,240,300,259.1,21/06/2016,14:07:27
139,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,240,300,280.2,21/06/2016,14:07:27
140,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,240,300,30,21/06/2016,14:07:27
