comp,block,day,trial,plate,location,animal,stdate,time,dist,sex,line
1,1,1,1,A,c1-001,DM1001,21/06/2016,14:03:27,1873.7,F,304
1,1,1,1,A,c1-002,DM1002,21/06/2016,14:03:27,7044.9,F,357
1,1,1,1,A,c1-003,DM1003,21/06/2016,14:03:27,12887.8,M,301
1,1,1,1,A,c1-004,DM1004,21/06/2016,14:03:27,8982.6,M,437
1,1,1,1,A,c1-005,DM1005,21/06/2016,14:03:27,7106.5,M,304
1,1,1,1,A,c1-006,DM1006,21/06/2016,14:03:27,5927.5,F,313
1,1,1,1,A,c1-007,DM1007,21/06/2016,14:03:27,8131.6,F,437
1,1,1,1,A,c1-008,DM1008,21/06/2016,14:03:27,3030,M,730
1,1,1,1,A,c1-009,DM1009,21/06/2016,14:03:27,4864,M,730
1,1,1,1,A,c1-010,DM1010,21/06/2016,14:03:27,8198.3,M,25120
1,1,1,1,A,c1-011,DM1011,21/06/2016,14:03:27,5462.2,F,707
1,1,1,1,A,c1-012,DM1012,21/06/2016,14:03:27,6891.4,M,555
1,1,1,1,A,c1-013,DM1013,21/06/2016,14:03:27,1842,F,365
1,1,1,1,A,c1-014,DM1014,21/06/2016,14:03:27,6671,F,307
1,1,1,1,A,c1-015,DM1015,21/06/2016,14:03:27,4003.1,M,28138
1,1,1,1,A,c1-016,DM1016,21/06/2016,14:03:27,18409.5,F,28138
1,1,1,1,B,c2-001,DM2017,21/06/2016,14:03:27,6142.1,F,730
1,1,1,1,B,c2-002,DM2018,21/06/2016,14:03:27,10104.2,M,307
1,1,1,1,B,c2-003,DM2019,21/06/2016,14:03:27,7025.3,M,357
1,1,1,1,B,c2-004,DM2020,21/06/2016,14:03:27,10666.2,M,313
1,1,1,1,B,c2-005,DM2021,21/06/2016,14:03:27,6780.1,F,360
1,1,1,1,B,c2-006,DM2022,21/06/2016,14:03:27,7559.9,F,799
1,1,1,1,B,c2-007,DM2023,21/06/2016,14:03:27,5475,M,304
1,1,1,1,B,c2-008,DM2024,21/06/2016,14:03:27,4034,F,714
1,1,1,1,B,c2-009,DM2025,21/06/2016,14:03:27,1420.6,F,707
1,1,1,1,B,c2-010,DM2026,21/06/2016,14:03:27,4535.7,M,365
1,1,1,1,B,c2-011,DM2027,21/06/2016,14:03:27,2861.8,F,304
1,1,1,1,B,c2-012,DM2028,21/06/2016,14:03:27,7049.3,M,315
